z_center,z_width,pt_center,pt_width,cos_center,cos_width,nsig,nsig_err,nsig_err2,bin_index
0.24,0.04,0.0625,0.0625,-0.9,0.1,134.0175,15.8283,15.8283,0
0.24,0.04,0.0625,0.0625,-0.7,0.1,422.5888,27.9465,27.9465,1
0.24,0.04,0.0625,0.0625,-0.5,0.1,568.878,32.2282,32.2282,2
0.24,0.04,0.0625,0.0625,-0.3,0.1,803.1492,37.1727,37.1727,3
0.24,0.04,0.0625,0.0625,-0.1,0.1,774.1586,37.4621,37.4621,4
0.24,0.04,0.0625,0.0625,0.1,0.1,668.2287,37.4639,37.4639,5
0.24,0.04,0.0625,0.0625,0.3,0.1,767.8389,37.0679,37.0679,6
0.24,0.04,0.0625,0.0625,0.5,0.1,643.1988,34.3464,34.3464,7
0.24,0.04,0.0625,0.0625,0.7,0.1,381.2564,26.395,26.395,8
0.24,0.04,0.0625,0.0625,0.9,0.1,124.4818,16.3778,16.3778,9
0.24,0.04,0.1875,0.0625,-0.9,0.1,416.2581,25.3968,25.3968,10
0.24,0.04,0.1875,0.0625,-0.7,0.1,980.1597,43.9682,43.9682,11
0.24,0.04,0.1875,0.0625,-0.5,0.1,1548.8556,52.9514,52.9514,12
0.24,0.04,0.1875,0.0625,-0.3,0.1,2061.5286,60.4354,60.4354,13
0.24,0.04,0.1875,0.0625,-0.1,0.1,2301.9834,62.3264,62.3264,14
0.24,0.04,0.1875,0.0625,0.1,0.1,2248.3379,63.8724,63.8724,15
0.24,0.04,0.1875,0.0625,0.3,0.1,1968.7176,60.2239,60.2239,16
0.24,0.04,0.1875,0.0625,0.5,0.1,1561.5621,53.4718,53.4718,17
0.24,0.04,0.1875,0.0625,0.7,0.1,866.2175,41.5275,41.5275,18
0.24,0.04,0.1875,0.0625,0.9,0.1,363.293,25.7652,25.7652,19
0.24,0.04,0.3125,0.0625,-0.9,0.1,440.6509,28.7264,28.7264,20
0.24,0.04,0.3125,0.0625,-0.7,0.1,1106.3988,46.8199,46.8199,21
0.24,0.04,0.3125,0.0625,-0.5,0.1,2165.6425,61.1862,61.1862,22
